station,city,code
焉耆,巴音郭楞蒙古自治州,22
和硕,无锡市,906
天津南,豊橋市,512
徐州东,徐州市,1009
蚌埠南,蚌埠市,37
德州东,德州市,151
泾县,衡水市,332
沧州西,沧州市,73
曲阜东,济宁市,398
宿州东,苏州市,824
玉山南,上饶市,775
鹰潭北,鹰潭市,1063
泰安,泰安市,836
滕州东,枣庄市,1123
进贤南,南昌市,627
滁州,滁州市,104
枣庄,枣庄市,1123
廊坊,廊坊市,496
龙游,衢州市,726
衡水北,衡水市,332
定远,环翠区,367
抚州东,抚州市,231
邢台东,邢台市,996
安阳东,安阳市,15
岳阳东,岳阳楼区,1112
长沙南,雨花区,1097
衡山西,南岳,644
郴州西,北湖区,49
清远,清远市,720
邯郸东,邯郸市,294
新乡东,红旗区,337
耒阳西,三顺街道,746
英德西,清远市,720
韶关,韶关市,778
株洲西,天元区,854
鹤壁东,鹤壁市,324
汨罗东,汨罗市,610
衡阳东,衡阳市,333
虎门,虎门镇,349
乐昌东,乐昌市,498
怀化南,鹤城区,325
安顺西,安顺市,13
盘州,六盘水市,559
曲靖北,沾益区,1125
邵阳,邵阳市,780
娄底南,娄底市,571
淮南东,淮南市,365
水家湖,八街市,19
淄博北,淄博市,1184
青州市北,潍坊市,890
潍坊北,潍坊市,890
高密北,青岛市,713
临淄北,淄博市,1184
章丘北,章丘区,1130
邹平,滨州市,66
淮北,淮北市,364
旌德,灌阳县,269
南陵,高松市,254
砀山南,宿州市,1004
兰考南,兰考县,493
萧县北,宿州市,1004
永城北,永城市,1069
广州北,花都区,350
连云港,连云港市,524
涟水,赣州市,248
淮安东,淮安市,363
泗阳,贵港市,279
宿迁,宿迁市,1003
睢宁,遂宁市,829
民权北,商丘市,770
赣榆,合江县,307
赤壁北,赤壁市,100
咸宁北,咸宁市,956
德兴,上饶市,775
歙县北,黄山市,375
长临河,合肥市,305
灵宝西,灵宝市,551
青川,广元市,274
五府山,東津軽郡,177
孝感北,大悟县,134
蒙山,临沂市,549
临沂北,临沂市,549
湘潭北,和平街道,310
邵阳北,邵阳市,780
芷江,枝江市,1163
铜仁南,铜仁市,871
凯里南,凯里市,474
韶山南,呉市,911
高邑西,沅陵县,1105
新化南,娄底市,571
贵定北,贵定县,278
三穗,三穗县,747
吉安西,吉安市,391
赣州西,赣州市,248
明港东,平桥区,669
焦作,山阳区,762
巩义南,郑州市,1162
黄冈东,黄州区,378
高安,宜春市,1050
新余北,新余市,992
萍乡北,萍乡市,681
庆盛,广州市,275
醴陵东,醴陵市,516
淮南南,淮南市,365
光明城,建兰路街道,419
渑池南,陕州区,764
胜利镇,临沂市,549
开封北,郑州市,1162
军粮城北,东丽区,170
鄠邑,西安市,925
资阳北,雁江区,1031
内江北,内江市,647
永川东,重庆市,1173
资中北,高松市,254
溆浦南,溆浦县,1011
新晃西,新晃侗族自治县,981
平坝南,安顺市,13
嵩明,昆明市,487
富源北,富源县,244
关岭,安顺市,13
玉溪,沼田市,1148
湖口,九江市,465
普安县,普安县,686
西华,河池市,316
周口东,川汇区,106
阜阳西,阜阳市,234
寿县,淮南市,365
凤台南,淮南市,365
颍上北,梅州市,599
佛坪,佛坪县,216
青白江东,成都市,87
阿房宫,西安市,925
界首南,吉首市,393
朝天,沼田市,1148
荣昌北,荣昌区,731
宁强南,宁强县,657
灌云,臺南市,832
隆昌北,隆昌市,569
石家庄东,石家庄市,793
辛集南,石家庄市,793
藁城南,石家庄市,793
亳州南,亳州市,70
太和东,清远市,720
古城东,磐石市,662
商丘东,梁园区,530
广汉北,德阳市,150
江油北,绵阳市,613
剑门关,剑阁县,421
芦庙,驻马店市,1178
扶沟南,鹤壁市,324
沈丘北,沈丘县,787
合肥北城,笔架山街道,59
淮阳南,周口市,1175
长宁,长宁区,1137
双峰北,双峰县,807
邵东,大禾塘街道,126
遵义,汇川区,381
安江东,洪江市,341
洞口,河池市,316
隆回,荔浦市,523
西渡,西都市,930
杨桥,仪陇县,1047
邵阳西,邵阳市,780
香港西九龙,油尖旺區,1082
上海西,普陀区,688
花桥,衡阳市,333
仙林,西充县,928
南翔北,嘉定区,404
宝华山,镇江市,1157
淮北北,淮北市,364
三阳,南宁市,637
大足南,荣昌区,731
简阳南,简阳市,415
璧山,重庆市,1173
沙坪坝,沙坪坝区,754
垫江,米子市,609
梁平南,梁平区,529
万州北,万州区,880
长寿湖,长寿区,1140
复盛,福生市,227
新都东,成都市,87
龙嘉,晴隆县,721
大石头南,敦化市,184
双吉,阳江市,1036
九台南,九台区,467
开安,长春市,1134
农安,农安县,659
松原,松原市,821
查干湖,大安市,119
大安,白城市,25
安广,大安市,119
乌兰浩特,乌兰浩特市,904
长山屯,蛟河市,434
两家,清远市,720
到保,洮北区,842
平台,百色市,32
葛根庙,乌兰浩特市,904
哈拉海,龙江县,563
镇西,河池市,316
华家,台州市,831
王府,阜新蒙古族自治县,233
武清,天津市,848
滨海,滨州市,66
塘沽,大野郡,137
新郑机场,郑州市,1162
绿博园,潍坊市,890
宋城路,睢阳区,826
南阳寨,长兴路街道,1142
黄河景区,郑州市,1162
修武西,修武县,1002
武陟,焦作市,435
金山卫,大埔區,132
春申,松江区,817
新桥,港区,250
车墩,松江区,817
叶榭,隰县,947
亭林,金山区,444
金山园区,金山区,444
黄冈,黄冈市,370
黄冈西,黄冈市,370
华容东,鄂州市,193
花山南,武汉市,917
左岭,福州市,228
犀浦,蒲郡市,683
青城山,成都市,87
都江堰,都江堰市,181
安德,百色市,32
郫县,成都市,87
郫县西,成都市,87
红光镇,南江县,633
安靖,成都市,87
罗江东,茂名市,596
乐山,沙湾区,756
眉山东,眉山市,597
新津南,新潟市,988
双流西,营山县,1066
彭山北,九江市,465
峨眉山,峨眉山市,187
双流机场,成都市,87
青神,渠县,725
新津,新潟市,988
青莲,绵阳市,613
犍为,豊後大野市,511
泥溪,叙州区,1010
屏山,石家庄市,793
贵阳,南明区,636
洛湾三江,乌当区,900
百宜,平昌县,665
南江,金华市,442
开阳,岑巩县,75
狮山北,资源县,1183
三水北,佛山市,217
云东海,佛山市,217
大旺,肇庆市,1152
鼎湖东,宜蘭縣,1051
鼎湖山,肇庆市,1152
端州,西貢區,932
肇庆,肇庆市,1152
狮山,九江市,465
四会,肇庆市,1152
湘潭,岳塘区,1111
板塘,半汤街道,35
芙蓉南,岳塘区,1111
先锋,南通市,640
湘府路,厦门市,759
香樟路,雨花区,1097
树木岭,雨花区,1097
